"Points:0","Points:1","Points:2"
1.4188,3.851,0
1.4188,4.0537,0
1.4188,4.2564,0
1.4188,4.459,0
1.4188,4.6617,0
1.4188,4.8644,0
1.4188,5.0671,0
1.4188,5.2698,0
1.4188,5.4725,0
1.4188,5.6751,0
1.4188,5.8778,0
1.4188,6.0805,0
1.4188,6.2832,0
1.6215,0,0
1.6215,0.20268,0
1.6215,0.40537,0
1.6215,0.60805,0
1.6215,0.81073,0
1.6215,1.0134,0
1.6215,1.2161,0
1.6215,1.4188,0
1.6215,1.6215,0
1.6215,1.8242,0
1.6215,2.0268,0
1.6215,2.2295,0
1.6215,2.4322,0
1.6215,2.6349,0
1.6215,2.8376,0
1.6215,3.0403,0
1.6215,3.2429,0
1.6215,3.4456,0
1.6215,3.6483,0
1.6215,3.851,0
1.6215,4.0537,0
1.6215,4.2564,0
1.6215,4.459,0
1.6215,4.6617,0
1.6215,4.8644,0
1.6215,5.0671,0
1.6215,5.2698,0
1.6215,5.4725,0
1.6215,5.6751,0
1.6215,5.8778,0
1.6215,6.0805,0
1.6215,6.2832,0
1.8242,0,0
1.8242,0.20268,0
1.8242,0.40537,0
1.8242,0.60805,0
1.8242,0.81073,0
1.8242,1.0134,0
1.8242,1.2161,0
1.8242,1.4188,0
1.8242,1.6215,0
1.8242,1.8242,0
1.8242,2.0268,0
1.8242,2.2295,0
1.8242,2.4322,0
1.8242,2.6349,0
1.8242,2.8376,0
1.8242,3.0403,0
1.8242,3.2429,0
1.8242,3.4456,0
1.8242,3.6483,0
1.8242,3.851,0
1.8242,4.0537,0
1.8242,4.2564,0
1.8242,4.459,0
1.8242,4.6617,0
1.8242,4.8644,0
1.8242,5.0671,0
1.8242,5.2698,0
1.8242,5.4725,0
1.8242,5.6751,0
1.8242,5.8778,0
1.8242,6.0805,0
1.8242,6.2832,0
2.0268,0,0
2.0268,0.20268,0
2.0268,0.40537,0
2.0268,0.60805,0
2.0268,0.81073,0
2.0268,1.0134,0
2.0268,1.2161,0
2.0268,1.4188,0
2.0268,1.6215,0
2.0268,1.8242,0
2.0268,2.0268,0
2.0268,2.2295,0
2.0268,2.4322,0
2.0268,2.6349,0
2.0268,2.8376,0
2.0268,3.0403,0
2.0268,3.2429,0
2.0268,3.4456,0
2.0268,3.6483,0
2.0268,3.851,0
2.0268,4.0537,0
2.0268,4.2564,0
2.0268,4.459,0
2.0268,4.6617,0
2.0268,4.8644,0
2.0268,5.0671,0
2.0268,5.2698,0
2.0268,5.4725,0
2.0268,5.6751,0
2.0268,5.8778,0
2.0268,6.0805,0
2.0268,6.2832,0
2.2295,0,0
2.2295,0.20268,0
2.2295,0.40537,0
2.2295,0.60805,0
2.2295,0.81073,0
2.2295,1.0134,0
2.2295,1.2161,0
2.2295,1.4188,0
2.2295,1.6215,0
2.2295,1.8242,0
2.2295,2.0268,0
2.2295,2.2295,0
2.2295,2.4322,0
2.2295,2.6349,0
2.2295,2.8376,0
2.2295,3.0403,0
2.2295,3.2429,0
2.2295,3.4456,0
2.2295,3.6483,0
2.2295,3.851,0
2.2295,4.0537,0
2.2295,4.2564,0
2.2295,4.459,0
2.2295,4.6617,0
2.2295,4.8644,0
2.2295,5.0671,0
2.2295,5.2698,0
2.2295,5.4725,0
2.2295,5.6751,0
2.2295,5.8778,0
2.2295,6.0805,0
2.2295,6.2832,0
2.4322,0,0
2.4322,0.20268,0
2.4322,0.40537,0
2.4322,0.60805,0
2.4322,0.81073,0
2.4322,1.0134,0
2.4322,1.2161,0
2.4322,1.4188,0
2.4322,1.6215,0
2.4322,1.8242,0
2.4322,2.0268,0
2.4322,2.2295,0
2.4322,2.4322,0
2.4322,2.6349,0
2.4322,2.8376,0
2.4322,3.0403,0
2.4322,3.2429,0
2.4322,3.4456,0
2.4322,3.6483,0
2.4322,3.851,0
2.4322,4.0537,0
2.4322,4.2564,0
2.4322,4.459,0
2.4322,4.6617,0
2.4322,4.8644,0
2.4322,5.0671,0
2.4322,5.2698,0
2.4322,5.4725,0
2.4322,5.6751,0
2.4322,5.8778,0
2.4322,6.0805,0
2.4322,6.2832,0
2.6349,0,0
2.6349,0.20268,0
2.6349,0.40537,0
2.6349,0.60805,0
2.6349,0.81073,0
2.6349,1.0134,0
2.6349,1.2161,0
2.6349,1.4188,0
2.6349,1.6215,0
2.6349,1.8242,0
2.6349,2.0268,0
2.6349,2.2295,0
2.6349,2.4322,0
2.6349,2.6349,0
2.6349,2.8376,0
2.6349,3.0403,0
2.6349,3.2429,0
2.6349,3.4456,0
2.6349,3.6483,0
2.6349,3.851,0
2.6349,4.0537,0
2.6349,4.2564,0
2.6349,4.459,0
2.6349,4.6617,0
2.6349,4.8644,0
2.6349,5.0671,0
2.6349,5.2698,0
2.6349,5.4725,0
2.6349,5.6751,0
2.6349,5.8778,0
2.6349,6.0805,0
2.6349,6.2832,0
2.8376,0,0
2.8376,0.20268,0
2.8376,0.40537,0
2.8376,0.60805,0
2.8376,0.81073,0
2.8376,1.0134,0
2.8376,1.2161,0
2.8376,1.4188,0
2.8376,1.6215,0
2.8376,1.8242,0
2.8376,2.0268,0
2.8376,2.2295,0
2.8376,2.4322,0
2.8376,2.6349,0
2.8376,2.8376,0
2.8376,3.0403,0
2.8376,3.2429,0
2.8376,3.4456,0
2.8376,3.6483,0
2.8376,3.851,0
2.8376,4.0537,0
2.8376,4.2564,0
2.8376,4.459,0
2.8376,4.6617,0
2.8376,4.8644,0
2.8376,5.0671,0
2.8376,5.2698,0
2.8376,5.4725,0
2.8376,5.6751,0
2.8376,5.8778,0
2.8376,6.0805,0
2.8376,6.2832,0
3.0403,0,0
3.0403,0.20268,0
3.0403,0.40537,0
3.0403,0.60805,0
3.0403,0.81073,0
3.0403,1.0134,0
3.0403,1.2161,0
3.0403,1.4188,0
3.0403,1.6215,0
3.0403,1.8242,0
3.0403,2.0268,0
3.0403,2.2295,0
3.0403,2.4322,0
3.0403,2.6349,0
3.0403,2.8376,0
3.0403,3.0403,0
3.0403,3.2429,0
3.0403,3.4456,0
3.0403,3.6483,0
3.0403,3.851,0
3.0403,4.0537,0
3.0403,4.2564,0
3.0403,4.459,0
3.0403,4.6617,0
3.0403,4.8644,0
3.0403,5.0671,0
3.0403,5.2698,0
3.0403,5.4725,0
3.0403,5.6751,0
3.0403,5.8778,0
3.0403,6.0805,0
3.0403,6.2832,0
3.2429,0,0
3.2429,0.20268,0
3.2429,0.40537,0
3.2429,0.60805,0
3.2429,0.81073,0
3.2429,1.0134,0
3.2429,1.2161,0
3.2429,1.4188,0
3.2429,1.6215,0
3.2429,1.8242,0
3.2429,2.0268,0
3.2429,2.2295,0
3.2429,2.4322,0
